"Level/Niveau","Hierarchical structure","Structure hiérarchique","Code","Class title","Superscript","Titres de classes","Supérieurs","Class definition","Définitions de la classe"
5,"Canadian industry","Classe canadienne","212114","Bituminous coal mining","CAN","Extraction de charbon bitumineux","CAN","This Canadian industry comprises establishments primarily engaged in mining bituminous coal. Mining operations and preparation plants (also known as cleaning plants and washeries), whether or not such plants are operated in conjunction with mine sites, are included.","Cette classe canadienne comprend les établissements dont l'activité principale est l'extraction de charbon bitumineux. Sont comprises les opérations minières et les installations de préparation (également appelées installations de nettoyage et lavoirs), que ces installations soient exploitées de pair avec une mine ou non.    "
5,"Canadian industry","Classe canadienne","212115","Subbituminous coal mining","CAN","Extraction de charbon subbitumineux","CAN","This Canadian industry comprises establishments primarily engaged in mining subbituminous coal. Mining operations and preparation plants (also known as cleaning plants and washeries), whether or not such plants are operated in conjunction with mine sites, are included.","Cette classe canadienne comprend les établissements dont l'activité principale est l'extraction de charbon subbitumineux. Sont comprises les opérations minières et les installations de préparation (également appelées installations de nettoyage et lavoirs), que ces installations soient exploitées de pair avec une mine ou non.     "
5,"Canadian industry","Classe canadienne","212116","Lignite coal mining","CAN","Extraction de charbon de lignite","CAN","This Canadian industry comprises establishments primarily engaged in mining lignite coal. Mining operations and preparation plants (also known as cleaning plants and washeries), whether or not such plants are operated in conjunction with mine sites, are included.","Cette classe canadienne comprend les établissements dont l'activité principale est l'extraction de charbon de lignite. Sont comprises les opérations minières et les installations de préparation (également appelées installations de nettoyage et lavoirs), que ces installations soient exploitées de pair avec une mine ou non."
3,"Industry group","Groupe","2122","Metal ore mining","","Extraction de minerais métalliques","","This industry group comprises establishments primarily engaged in mining metallic minerals (ores). Also included are establishments engaged in ore dressing and beneficiating operations, whether performed at mills operated in conjunction with the mines served or at mills, such as custom mills, operated separately. These include mills that crush, grind, wash, dry, sinter, calcine or leach ore, or perform gravity separation or flotation operations.","Ce groupe comprend les établissements dont l'activité principale est l'extraction de minéraux métalliques (minerais). Sont également compris les établissements effectuant des opérations de traitement et d'enrichissement du minerai dans des installations exploitées de pair avec les mines desservies ou dans des installations exploitées de façon distincte, comme les usines à façon. Sont comprises les usines qui concassent, broient, lavent, sèchent, agglomèrent, calcinent ou lixivient le minerai ou qui effectuent des opérations de séparation gravitaire ou de flottation."
4,"Industry","Classe","21221","Iron ore mining","","Extraction de minerais de fer","","This industry comprises establishments primarily engaged in mining, beneficiating or otherwise preparing iron ores, and manganiferous ores valued chiefly for their iron content. Establishments engaged in the production of sinter and other agglomerates, except those associated with blast furnace operations, are included.","Cette classe comprend les établissements dont l'activité principale est l'extraction, l'enrichissement ou toute autre préparation de minerais de fer et de minerais manganésifères recherchés principalement pour leur teneur en fer. Sont compris les établissements qui produisent du sinter et autres agglomérats, à l'exception de ceux qui sont associés aux opérations de hauts fourneaux.    "
5,"Canadian industry","Classe canadienne","212210","Iron ore mining","","Extraction de minerais de fer","","This Canadian industry comprises establishments primarily engaged in mining, beneficiating or otherwise preparing iron ores, and manganiferous ores valued chiefly for their iron content. Establishments engaged in the production of sinter and other agglomerates, except those associated with blast furnace operations, are included.","Cette classe canadienne comprend les établissements dont l'activité principale est l'extraction, l'enrichissement ou toute autre préparation de minerais de fer et de minerais manganésifères recherchés principalement pour leur teneur en fer. Sont compris les établissements qui produisent du sinter et autres agglomérats, à l'exception de ceux qui sont associés aux opérations de hauts fourneaux."
4,"Industry","Classe","21222","Gold and silver ore mining","","Extraction de minerais d'or et d'argent","","This industry comprises establishments primarily engaged in mining, beneficiating or otherwise preparing ores valued chiefly for their gold or silver content.","Cette classe comprend les établissements dont l'activité principale est l'extraction, l'enrichissement ou toute autre préparation de minerais recherchés principalement pour leur teneur en or ou en argent."
5,"Canadian industry","Classe canadienne","212220","Gold and silver ore mining","CAN","Extraction de minerais d'or et d'argent","CAN","This Canadian industry comprises establishments primarily engaged in mining, beneficiating or otherwise preparing ores valued chiefly for their gold or silver content.","Cette classe canadienne comprend les établissements dont l'activité principale est l'extraction, l'enrichissement ou toute autre préparation de minerais recherchés principalement pour leur teneur en or ou en argent."
4,"Industry","Classe","21223","Copper, nickel, lead and zinc ore mining","","Extraction de minerais de cuivre, de nickel, de plomb et de zinc","","This industry comprises establishments primarily engaged in mining, beneficiating or otherwise preparing ores valued chiefly for their copper, nickel, lead or zinc content.","Cette classe comprend les établissements dont l'activité principale est l'extraction, l'enrichissement ou toute autre préparation de minerais recherchés principalement pour leur teneur en cuivre, en nickel, en plomb ou en zinc."
5,"Canadian industry","Classe canadienne","212231","Lead-zinc ore mining","US","Extraction de minerais de plomb-zinc","ÉU","This Canadian industry comprises establishments primarily engaged in mining, beneficiating or otherwise preparing lead ores, zinc ores or lead-zinc ores.","Cette classe canadienne comprend les établissements dont l'activité principale est l'extraction, l'enrichissement ou toute autre préparation de minerais de plomb, de zinc ou de plomb-zinc."
5,"Canadian industry","Classe canadienne","212232","Nickel-copper ore mining","CAN","Extraction de minerais de nickel-cuivre","CAN","This Canadian industry comprises establishments primarily engaged in mining, beneficiating or otherwise preparing nickel or nickel-copper ores.","Cette classe canadienne comprend les établissements dont l'activité principale est l'extraction, l'enrichissement ou toute autre préparation de minerais de nickel ou de nickel-cuivre."
5,"Canadian industry","Classe canadienne","212233","Copper-zinc ore mining","CAN","Extraction de minerais de cuivre-zinc","CAN","This Canadian industry comprises establishments primarily engaged in mining, beneficiating or otherwise preparing copper or copper-zinc ores. Establishments engaged in the recovery of copper concentrates by the precipitation and leaching of copper ore are also included.","Cette classe canadienne comprend les établissements dont l'activité principale est l'extraction, l'enrichissement ou toute autre préparation des minerais de cuivre ou de cuivre-zinc. Sont également compris les établissements dont l'activité principale est la récupération de concentrés de cuivre par la précipitation et la lixiviation du minerai de cuivre."
4,"Industry","Classe","21229","Other metal ore mining","","Extraction d'autres minerais métalliques","","This industry comprises establishments, not classified to any other industry, primarily engaged in mining, beneficiating or otherwise preparing metallic ores, such as uranium-radium-vanadium ores, molybdenum ores, antimony ores, columbium ores, illmenite ores, magnesium ores, tantalum ores and tungsten ores.","Cette classe comprend les établissements qui ne figurent dans aucune autre classe et dont l'activité principale est l'extraction, l'enrichissement ou toute autre préparation de minerais métalliques tels que les minerais d'uranium-radium-vanadium, de molybdène, d'antimoine, de columbium, d'ilménite, de magnésium, de tantale et de tungstène.    "
5,"Canadian industry","Classe canadienne","212291","Uranium ore mining","US","Extraction de minerais d'uranium","ÉU","This Canadian industry comprises establishments primarily engaged in mining, beneficiating or otherwise preparing uranium-radium-vanadium ores.","Cette classe canadienne comprend les établissements dont l'activité principale est l'extraction, l'enrichissement ou toute autre préparation de minerais d'uranium-radium-vanadium.    "
5,"Canadian industry","Classe canadienne","212299","All other metal ore mining","US","Extraction de tous les autres minerais métalliques","ÉU","This Canadian industry comprises establishments, not classified to any other Canadian industry, primarily engaged in mining, beneficiating or otherwise preparing metallic ores.","Cette classe canadienne comprend les établissements qui ne figurent dans aucune autre classe canadienne et dont l'activité principale est l'extraction, l'enrichissement ou toute autre préparation de minerais métalliques.    "
3,"Industry group","Groupe","2123","Non-metallic mineral mining and quarrying","","Extraction de minerais non métalliques","","This industry group comprises establishments primarily engaged in mining or quarrying non-metallic minerals, except coal. Primary preparation plants, such as those engaged in crushing, grinding and washing, are included.","Ce groupe comprend les établissements dont l'activité principale est l'extraction minière ou l'extraction en carrière de minerais non métalliques, sauf le charbon. Sont comprises les usines de première préparation, comme celles qui procèdent au concassage, au broyage et au lavage.    "
4,"Industry","Classe","21231","Stone mining and quarrying","","Extraction de pierre","","This industry comprises establishments primarily engaged in mining or quarrying dimension stone, rough blocks or slabs of stone, and crushed and broken stone.","Cette classe comprend les établissements dont l'activité principale est l'extraction minière ou l'extraction en carrière de pierre de taille, de blocs dégrossis ou de dalles de pierre et de pierre concassée."
5,"Canadian industry","Classe canadienne","212314","Granite mining and quarrying","CAN","Extraction de granite","CAN","This Canadian industry comprises establishments primarily engaged in mining or quarrying dimension granite, rough blocks or slabs of granite, and crushed and broken granite, including related rocks.","Cette classe canadienne comprend les établissements dont l'activité principale est l'extraction minière ou l'extraction en carrière de granite de taille, de blocs dégrossis ou de dalles de granite et de granite concassé, y compris les roches connexes."
5,"Canadian industry","Classe canadienne","212315","Limestone mining and quarrying","CAN","Extraction de calcaire","CAN","This Canadian industry comprises establishments primarily engaged in mining or quarrying dimension limestone, rough blocks or slabs of limestone, and crushed and broken limestone, including related rocks. Establishments engaged in the grinding or pulverizing of limestone are also included.","Cette classe canadienne comprend les établissements dont l'activité principale est l'extraction minière ou l'extraction en carrière de calcaire de taille, de blocs dégrossis ou de dalles de calcaire et de calcaire concassé, y compris les roches connexes. Sont aussi compris les établissements dont l'activité principale est le broyage ou la pulvérisation du calcaire.    "
5,"Canadian industry","Classe canadienne","212316","Marble mining and quarrying","CAN","Extraction de marbre","CAN","This Canadian industry comprises establishments primarily engaged in mining or quarrying dimension marble, rough blocks or slabs of marble, and crushed and broken marble. Establishments engaged in mining or quarrying slate are also included.","Cette classe canadienne comprend les établissements dont l'activité principale est l'extraction minière ou l'extraction en carrière de marbre de taille, de blocs dégrossis ou de dalles de marbre et de marbre concassé. Sont aussi compris les établissements qui font l'extraction minière ou l'extraction en carrière d'ardoise."
5,"Canadian industry","Classe canadienne","212317","Sandstone mining and quarrying","CAN","Extraction de grès","CAN","This Canadian industry comprises establishments primarily engaged in mining or quarrying dimension sandstone, rough blocks or slabs of sandstone, and crushed and broken sandstone.","Cette classe canadienne comprend les établissements dont l'activité principale est l'extraction minière ou l'extraction en carrière de grès de taille, de blocs dégrossis ou de dalles de grès et de grès concassé."
4,"Industry","Classe","21232","Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying","","Extraction de sable, de gravier, d'argile, de céramique et de minerais réfractaires","","This industry comprises establishments primarily engaged in operating sand and gravel pits, including dredging for sand and gravel; mining or quarrying shale; and mining, beneficiating or otherwise preparing kaolin or ball clay, including china clay, paper and slip clays, and other clays and refractory minerals.","Cette classe comprend les établissements dont l'activité principale est l'exploitation de carrières de sable et de gravier, y compris le dragage de sable et de gravier; l'extraction minière ou l'extraction en carrière de schiste argileux; l'extraction, l'enrichissement ou toute autre préparation de kaolin ou d'argile figuline, y compris la terre à porcelaine, l'argile à papier, l'argile à glaçure et d'autres types d'argile et de minerais réfractaires."
5,"Canadian industry","Classe canadienne","212323","Sand and gravel mining and quarrying","CAN","Extraction de sable et de gravier","CAN","This Canadian industry comprises establishments primarily engaged in operating sand and gravel pits, including dredging for sand and gravel, and washing, screening or otherwise preparing sand and gravel.","Cette classe canadienne comprend les établissements dont l'activité principale est l'exploitation de carrières de sable et de gravier, y compris le dragage de sable et de gravier, ainsi que le lavage, le criblage ou toute autre préparation de sable et de gravier."
5,"Canadian industry","Classe canadienne","212326","Shale, clay and refractory mineral mining and quarrying","CAN","Extraction de schiste, d'argile et de minerais réfractaires","CAN","This Canadian industry comprises establishments primarily engaged in mining or quarrying shale and mining, beneficiating or otherwise preparing kaolin or ball clay and other clays and refractory minerals. Mines operated in conjunction with plants that manufacture cement, brick or other structural clay products, or pottery and related products, are included in this Canadian industry when separate reports are not available.","Cette classe canadienne comprend les établissements dont l'activité principale est l'extraction minière ou l'extraction en carrière de schiste argileux et l'extraction, l'enrichissement ou toute autre préparation de kaolin ou d'argile figuline et d'autres types d'argile et de minerais réfractaires. Les mines exploitées de pair avec des usines de fabrication de ciment, de briques ou d'autres matériaux céramiques de même que de poteries ou de produits connexes sont comprises dans cette classe canadienne lorsque des rapports distincts ne sont pas disponibles."
4,"Industry","Classe","21239","Other non-metallic mineral mining and quarrying","","Extraction d'autres minerais non métalliques","","This industry comprises establishments, not classified to any other industry, primarily engaged in mining, beneficiating or otherwise preparing non-metallic minerals, such as asbestos, gypsum and potash, and extracting peat.","Cette classe comprend les établissements qui ne figurent dans aucune autre classe et dont l'activité principale est l'extraction, l'enrichissement ou toute autre préparation de minéraux non métalliques, comme l'amiante, le gypse et la potasse, de même que l'extraction de tourbe."
5,"Canadian industry","Classe canadienne","212392","Diamond mining","CAN","Extraction de diamant","CAN","This Canadian industry comprises establishments primarily engaged in mining diamonds of industrial or gem quality.","Cette classe canadienne comprend les établissements dont l'activité principale est l'extraction, l'enrichissement ou toute autre préparation de diamant."
5,"Canadian industry","Classe canadienne","212393","Salt mining","CAN","Extraction de sel","CAN","This Canadian industry comprises establishments primarily engaged in mining rock salt or in the recovery of salt from brine wells.","Cette classe canadienne comprend les établissements dont l'activité principale est l'extraction de sel gemme ou la récupération de sel à partir de puits salants."
5,"Canadian industry","Classe canadienne","212394","Asbestos mining","CAN","Extraction d'amiante","CAN","This Canadian industry comprises establishments primarily engaged in mining, beneficiating or otherwise preparing asbestos.","Cette classe canadienne comprend les établissements dont l'activité principale est l'extraction, l'enrichissement ou toute autre préparation de l'amiante."
5,"Canadian industry","Classe canadienne","212395","Gypsum mining","CAN","Extraction de gypse","CAN","This Canadian industry comprises establishments primarily engaged in mining, beneficiating or otherwise preparing gypsum.","Cette classe canadienne comprend les établissements dont l'activité principale est l'extraction, l'enrichissement ou toute autre préparation du gypse."
5,"Canadian industry","Classe canadienne","212396","Potash mining","CAN","Extraction de potasse","CAN","This Canadian industry comprises establishments primarily engaged in mining, beneficiating or otherwise preparing potash.","Cette classe canadienne comprend les établissements dont l'activité principale est l'extraction, l'enrichissement ou toute autre préparation de la potasse."
5,"Canadian industry","Classe canadienne","212397","Peat extraction","CAN","Extraction de tourbe","CAN","This Canadian industry comprises establishments primarily engaged in extracting and processing peat.","Cette classe canadienne comprend les établissements dont l'activité principale est l'extraction et le traitement de la tourbe."
5,"Canadian industry","Classe canadienne","212398","All other non-metallic mineral mining and quarrying","CAN","Extraction de tous les autres minerais non métalliques","CAN","This Canadian industry comprises establishments, not classified to any other Canadian industry, primarily engaged in mining, beneficiating or otherwise preparing non-metallic minerals.","Cette classe canadienne comprend les établissements qui ne figurent dans aucune autre classe canadienne et dont l'activité principale est l'extraction, l'enrichissement ou toute autre préparation de minerais non métalliques.    "
2,"Subsector","Sous-secteur","213","Support activities for mining, and oil and gas extraction","","Activités de soutien à l'extraction minière, pétrolière et gazière","","This subsector comprises establishments primarily engaged in providing support services, on a contract or fee basis, for the mining and quarrying of minerals and for the extraction of oil and gas. Establishments engaged in the exploration for minerals, other than oil or gas, are included. Exploration includes traditional prospecting methods, such as taking ore samples and making geological observations at prospective sites.","Ce sous-secteur comprend les établissements dont l'activité principale est la prestation, en vertu d'ententes contractuelles ou contre rémunération, de services de soutien à l'extraction minière et à l'extraction en carrière de même qu'à l'extraction de pétrole et de gaz. Sont compris les établissements qui font de l'exploration de minéraux autres que le pétrole et le gaz. L'exploration couvre les méthodes classiques de prospection, comme le prélèvement d'échantillons de minerai et les observations géologiques sur les sites de prospection."
3,"Industry group","Groupe","2131","Support activities for mining, and oil and gas extraction","","Activités de soutien à l'extraction minière, pétrolière et gazière","","This industry group comprises establishments primarily engaged in providing support services, on a contract or fee basis, for the mining and quarrying of minerals and for the extraction of oil and gas. Establishments engaged in the exploration for minerals, other than oil or gas, are included. Exploration includes traditional prospecting methods, such as taking ore samples and making geological observations at prospective sites.","Ce groupe comprend les établissements dont l'activité principale est la prestation, en vertu d'ententes contractuelles ou contre rémunération, de services de soutien à l'extraction minière et l'extraction en carrière de même qu'à l'extraction de pétrole et de gaz. Sont compris les établissements qui font de l'exploration de minéraux autres que le pétrole et le gaz. L'exploration couvre les méthodes classiques de prospection, comme le prélèvement d'échantillons de minerai et les observations géologiques sur les sites de prospection."
4,"Industry","Classe","21311","Support activities for mining, and oil and gas extraction","","Activités de soutien à l'extraction minière, pétrolière et gazière","","This industry comprises establishments primarily engaged in providing support services, on a contract or fee basis, for the mining and quarrying of minerals and for the extraction of oil and gas. Establishments engaged in the exploration for minerals, other than oil or gas, are included. Exploration includes traditional prospecting methods, such as taking ore samples and making geological observations at prospective sites.","Cette classe comprend les établissements dont l'activité principale est la prestation, en vertu d'ententes contractuelles ou contre rémunération, de services de soutien à l'extraction minière et à l'extraction en carrière de même qu'à l'extraction de pétrole et de gaz. Sont compris les établissements qui font de l'exploration de minéraux autres que le pétrole et le gaz. L'exploration couvre les méthodes classiques de prospection, comme le prélèvement d'échantillons de minerai et les observations géologiques sur les sites de prospection."
5,"Canadian industry","Classe canadienne","213111","Oil and gas contract drilling","","Forage à forfait de puits de pétrole et de gaz","","This Canadian industry comprises establishments primarily engaged in drilling wells for oil or gas field operations, for others, on a contract or fee basis.","Cette classe canadienne comprend les établissements dont l'activité principale est le forage de puits de pétrole ou de gaz, pour le compte d'autrui et en vertu d'ententes contractuelles ou contre rémunération."
5,"Canadian industry","Classe canadienne","213117","Contract drilling (except oil and gas)","CAN","Forage à forfait (sauf de puits de pétrole et de gaz)","CAN","This Canadian industry comprises establishments primarily engaged in diamond, test, prospect and other types of drilling, for minerals, other than oil and gas, on a contract or fee basis.","Cette classe canadienne comprend les établissements dont l'activité principale est le sondage au diamant, le sondage d'essai, le sondage de prospection et d'autres types de forage visant les minéraux, autres que le pétrole et le gaz, pour le compte d'autrui et en vertu d'ententes contractuelles ou contre rémunération."
5,"Canadian industry","Classe canadienne","213118","Services to oil and gas extraction","CAN","Services relatifs à l'extraction de pétrole et de gaz","CAN","This Canadian industry comprises establishments primarily engaged in performing oil and gas field services, except contract drilling, for others, on a contract or fee basis.","Cette classe canadienne comprend les établissements dont l'activité principale est la prestation, pour le compte d'autrui et en vertu d'ententes contractuelles ou contre rémunération, de services relatifs à l'extraction de pétrole et de gaz, sauf le forage à forfait."
5,"Canadian industry","Classe canadienne","213119","Other support activities for mining","CAN","Autres activités de soutien à l'extraction minière","CAN","This Canadian industry comprises establishments, not classified to any other Canadian industry, primarily engaged in performing mining services for others, except drilling, on a contract or fee basis. Establishments engaged in the exploration for minerals are included. Such exploration is often accomplished using purchased services of specialty businesses, such as contract drilling services to obtain core samples.","Cette classe canadienne comprend les établissements qui ne figurent dans aucune autre classe canadienne et dont l'activité principale est la prestation, pour le compte d'autrui et en vertu d'ententes contractuelles ou contre rémunération, de services relatifs à l'extraction minière, sauf le forage à forfait. Sont compris les établissements qui font de l'exploration minérale. Ce type d'exploration est souvent effectué par le biais de services acquis ou par des entreprises de services spécialisés, comme les services de forage à forfait permettant d'obtenir des carottes de sondage."
1,"Sector","Secteur","22","Utilities","","Services publics","","This sector comprises establishments primarily engaged in operating electric, gas and water utilities. These establishments generate, transmit, control and distribute electric power; distribute natural gas; treat and distribute water; operate sewer systems and sewage treatment facilities; and provide related services, generally through a permanent infrastructure of lines, pipes and treatment and processing facilities.","Ce secteur comprend les établissements dont l'activité principale est l'exploitation de services publics d'électricité, de gaz et d'eau. Les établissements de ce secteur assurent la production, le transport, la gestion et la distribution d'électricité; la distribution de gaz naturel; le traitement et la distribution de l'eau; l'exploitation des égouts et des usines de traitement des eaux usées; ainsi que la fourniture de services connexes par l'entremise d'une infrastructure permanente de conduites, de tuyauteries ainsi que d'installations de traitement et de transformation."
2,"Subsector","Sous-secteur","221","Utilities","US","Services publics","ÉU","This subsector comprises establishments primarily engaged in operating electric, gas and water utilities. These establishments generate, transmit, control and distribute electric power; distribute natural gas; treat and distribute water; operate sewer systems and sewage treatment facilities; and provide related services, generally through a permanent infrastructure of lines, pipes and treatment and processing facilities.","Ce sous-secteur comprend les établissements dont l'activité principale est l'exploitation de services publics d'électricité, de gaz et d'eau. Les établissements de ce sous-secteur assurent la production, le transport, la gestion et la distribution d'électricité; la distribution de gaz naturel; le traitement et la distribution de l'eau; l'exploitation des égouts et des usines de traitement des eaux usées; ainsi que la fourniture de services connexes par l'entremise d'une infrastructure permanente de conduites, de tuyauteries ainsi que d'installations de traitement et de transformation."
3,"Industry group","Groupe","2211","Electric power generation, transmission and distribution","","Production, transport et distribution d'électricité","","This industry group comprises establishments primarily engaged in the generation of bulk electric power, transmission from generating facilities to distribution centres, and/or distribution to end users.","Ce groupe comprend les établissements dont l'activité principale consiste à produire de l'électricité en bloc, à transporter cette électricité des centrales jusqu'aux centres de distribution et/ou de la distribuer jusqu'aux utilisateurs finals."
4,"Industry","Classe","22111","Electric power generation","US","Production d'électricité","ÉU","This industry comprises establishments primarily engaged in the generation of bulk electric power, by hydraulic energy, fossil fuels, nuclear energy or other processes.","Cette classe comprend les établissements dont l'activité principale consiste à produire de l'électricité en bloc à partir de l'énergie hydraulique, de combustibles fossiles, de l'énergie nucléaire ou d'autres processus."
5,"Canadian industry","Classe canadienne","221111","Hydro-electric power generation","US","Production d'hydroélectricité","ÉU","This Canadian industry comprises establishments primarily engaged in the generation of electricity using hydraulic energy. Establishments that use pumped hydro storage generation processes are included.","Cette classe canadienne comprend les établissements dont l'activité principale consiste à produire de l'électricité à partir de l'énergie hydraulique. Sont incluses les installations qui produisent de l'électricité à partir d'une réserve pompée."
5,"Canadian industry","Classe canadienne","221112","Fossil-fuel electric power generation","US","Production d'électricité à partir de combustibles fossiles","ÉU","This Canadian industry comprises establishments primarily engaged in the generation of electricity using fossil fuels (coal, gas, oil) in internal combustion or combustion-turbine conventional steam processes.","Cette classe canadienne comprend les établissements dont l'activité principale consiste à produire de l'électricité au moyen de combustibles fossiles (charbon, gaz, pétrole) par combustion interne ou dans des systèmes classiques de turbines à vapeur."
5,"Canadian industry","Classe canadienne","221113","Nuclear electric power generation","US","Production d'électricité d'origine nucléaire","ÉU","This Canadian industry comprises establishments primarily engaged in the generation of electric power using nuclear energy.","Cette classe canadienne comprend les établissements dont l'activité principale consiste à produire de l'électricité à partir d'énergie nucléaire."
5,"Canadian industry","Classe canadienne","221119","Other electric power generation","US","Autres activités de production d'électricité","ÉU","This Canadian industry comprises establishments, not classified to any other Canadian industry, primarily engaged in the generation of electricity, using sources such as wind, solar or tidal energy.","Cette classe canadienne comprend les établissements qui ne figurent dans aucune autre classe canadienne et dont l'activité principale consiste à produire de l'électricité en se servant, par exemple, de l'énergie éolienne, solaire ou marémotrice."
4,"Industry","Classe","22112","Electric power transmission, control and distribution","US","Transport, gestion et distribution d'électricité","ÉU","This industry comprises establishments primarily engaged in the transmission, distribution or control of electric power.","Cette classe comprend les établissements dont l'activité principale consiste à transporter, distribuer ou gérer l'électricité."
5,"Canadian industry","Classe canadienne","221121","Electric bulk power transmission and control","US","Transport et gestion d'électricité en bloc","ÉU","This Canadian industry comprises establishments primarily engaged in the transmission of electric power from the generating source to the distribution centre, or in transmission and distribution. The transmission system includes transmission lines and the transformer stations that are integral to transmission. The control of electric power, which includes arranging, facilitating or co-ordinating the transmission of electric power between or among electric utilities, is included.","Cette classe canadienne comprend les établissements dont l'activité principale consiste à transporter de l'électricité entre une source de production et un centre de distribution, ou à transporter et distribuer de l'électricité. Le transport s'effectue par des lignes et par les transformateurs qui font partie intégrante du système. Sont aussi inclus les établissements qui gèrent de l'électricité, c'est-à-dire qui organisent, facilitent ou coordonnent les moyens de transport de l'électricité entre les services publics ou au sein de ces derniers."
5,"Canadian industry","Classe canadienne","221122","Electric power distribution","US","Distribution d'électricité","ÉU","This Canadian industry comprises establishments primarily engaged in the distribution of electric power to the individual user or consumer. The electric power distribution system includes distribution lines and transformer stations integral to power distribution, as well as any dedicated generating stations. Electric power brokers and agents, that arrange the sale of electricity over power distribution systems operated by others, are included.","Cette classe canadienne comprend les établissements dont l'activité principale consiste à distribuer de l'électricité aux usagers ou consommateurs individuels. La distribution s'effectue par des lignes et par des transformateurs qui font partie intégrante du système, ainsi que, éventuellement, par des centrales spécialisées. Sont inclus les agents et les courtiers en électricité qui négocient la vente d'électricité par l'entremise de réseaux de distribution d'énergie exploités par d'autres."
3,"Industry group","Groupe","2212","Natural gas distribution","US","Distribution de gaz naturel","ÉU","This industry group comprises establishments primarily engaged in the distribution of natural or synthetic gas to the ultimate consumers through a system of mains. Gas marketers or brokers, that arrange the sale of natural gas over distribution systems operated by others, are included.","Ce groupe comprend les établissements dont l'activité principale consiste à distribuer du gaz naturel ou synthétique aux consommateurs au moyen d'un réseau de canalisations. Sont inclus les marchands et courtiers qui négocient la vente de gaz naturel par l'entremise de réseaux de distribution du gaz exploités par d'autres."
4,"Industry","Classe","22121","Natural gas distribution","US","Distribution de gaz naturel","ÉU","This industry comprises establishments primarily engaged in the distribution of natural or synthetic gas to the ultimate consumers through a system of mains. Gas marketers or brokers, that arrange the sale of natural gas over distribution systems operated by others, are included.","Cette classe comprend les établissements dont l'activité principale consiste à distribuer du gaz naturel ou synthétique aux consommateurs au moyen d'un réseau de canalisations. Sont inclus les marchands et courtiers qui négocient la vente de gaz naturel par l'entremise de réseaux de distribution du gaz exploités par d'autres."
5,"Canadian industry","Classe canadienne","221210","Natural gas distribution","US","Distribution de gaz naturel","ÉU","This Canadian industry comprises establishments primarily engaged in the distribution of natural or synthetic gas to the ultimate consumers through a system of mains. Gas marketers or brokers, that arrange the sale of natural gas over distribution systems operated by others, are included.","Cette classe canadienne comprend les établissements dont l'activité principale consiste à distribuer du gaz naturel ou synthétique aux consommateurs au moyen d'un réseau de canalisations. Sont inclus les marchands et courtiers qui négocient la vente de gaz naturel par l'entremise de réseaux de distribution du gaz exploités par d'autres."
3,"Industry group","Groupe","2213","Water, sewage and other systems","US","Réseaux d'aqueduc et d'égout et autres","ÉU","This industry group comprises establishments primarily engaged in operating water, sewage and related systems.","Ce groupe comprend les établissements dont l'activité principale consiste à exploiter des réseaux d'aqueducs, d'égouts et des systèmes connexes."
4,"Industry","Classe","22131","Water supply and irrigation systems","US","Réseaux d'aqueduc et systèmes d'irrigation","ÉU","This industry comprises establishments primarily engaged in operating water collection, treatment and distribution systems for domestic and industrial needs. Establishments primarily engaged in operating irrigation systems are included.","Cette classe comprend les établissements dont l'activité principale consiste à exploiter des systèmes de captage, de traitement et de distribution de l'eau à des fins domestiques et industrielles. Sont inclus les établissements dont l'activité principale consiste à exploiter des systèmes d'irrigation."
5,"Canadian industry","Classe canadienne","221310","Water supply and irrigation systems","US","Réseaux d'aqueduc et systèmes d'irrigation","ÉU","This Canadian industry comprises establishments primarily engaged in operating water collection, treatment and distribution systems for domestic and industrial needs. Establishments primarily engaged in operating irrigation systems are included.","Cette classe canadienne comprend les établissements dont l'activité principale consiste à exploiter des systèmes de captage, de traitement et de distribution de l'eau à des fins domestiques et industrielles. Sont inclus les établissements dont l'activité principale consiste à exploiter des systèmes d'irrigation."
4,"Industry","Classe","22132","Sewage treatment facilities","US","Installations d'épuration des eaux usées","ÉU","This industry comprises establishments primarily engaged in operating sewer systems and sewage treatment facilities that collect, treat and dispose of wastewater.","Cette classe comprend les établissements dont l'activité principale consiste à exploiter les réseaux d'égouts et les usines de traitement des eaux usées qui font la collecte, le traitement et l'élimination des eaux usées."
5,"Canadian industry","Classe canadienne","221320","Sewage treatment facilities","US","Installations d'épuration des eaux usées","ÉU","This Canadian industry comprises establishments primarily engaged in operating sewer systems and sewage treatment facilities that collect, treat and dispose of wastewater.","Cette classe canadienne comprend les établissements dont l'activité principale consiste à exploiter les réseaux d'égouts et les usines de traitement des eaux usées qui font la collecte, le traitement et l'élimination des eaux usées."
4,"Industry","Classe","22133","Steam and air-conditioning supply","US","Production de vapeur et conditionnement de l'air","ÉU","This industry comprises establishments primarily engaged in the production or distribution of steam and heated or cooled air.","Cette classe comprend les établissements dont l'activité principale consiste à produire ou à distribuer de la vapeur et de l'air chauffé ou refroidi."
5,"Canadian industry","Classe canadienne","221330","Steam and air-conditioning supply","US","Production de vapeur et conditionnement de l'air","ÉU","This Canadian industry comprises establishments primarily engaged in the production or distribution of steam and heated or cooled air.","Cette classe canadienne comprend les établissements dont l'activité principale consiste à produire ou à distribuer de la vapeur et de l'air chauffé ou refroidi."
